ICO;DATVZN;DATZAN;ICOP;ICON;HLSKNACE;SKNACE;FORMA;DRVLST;USORG;SNU;KATP;KATP13;SIDKRJ;SIDOKR;SIDOBEC;TYPJ;ESU2010;NAZOV;SNAZOV;PRIEZ;MENO;TITPRED;TITZA;SIDUL;SIDSUPCISLO;SIDORCISLO;SIDPSC;SIDPOSTA
37808265;01.03.1997;31.08.2006;;;;;321;4;20;610;0;999;SK031;SK0315;SK0315510262;1110;;Základná škola, Materská škola pri Nemocnici s poliklinikou;Základná škola, Materská škola pri NsP;;;;;Palúčanská;;25;03123;Liptovský Mikuláš 1
37808281;01.03.1997;31.08.2006;;;;;321;4;20;610;0;999;SK031;SK0318;SK0318510998;1110;;Základná škola, Materská škola pri Nemocnici s poliklinikou;Základná škola, Materská škola pri NsP;;;;;Zárevúcka;;3;03401;Ružomberok 1
37808303;01.03.1997;31.08.2006;;;;;321;4;20;610;0;999;SK031;SK031A;SK031A510106;1110;;Základná škola, Materská škola pri Nemocnici s poliklinikou;Základná škola, Materská škola pri NsP;;;;;Mieru;549;16;02801;Trstená
37808338;01.03.1997;31.08.2006;;;;;321;4;20;610;0;999;SK031;SK0318;SK0318510807;1110;;Základná škola pri Národnom endokrinologickom a diabetologickom ústave;ZŠ pri Národnom endokrinol. a diabet. ústave;;;;;Ľubochňa;;145;03491;Ľubochňa
35540249;01.01.2002;30.09.2013;;;84130;;321;4;31;610;0;999;SK042;SK0425;SK0425599824;1110;;Správa katastra Košice;Správa katastra Košice;Trembeczká;Eva;1;;Južná trieda;;82;04017;Košice 1
36125474;01.01.2002;30.09.2013;;;84130;;321;4;31;610;0;999;SK022;SK0229;SK0229505820;1110;;Správa katastra Trenčín;Správa katastra Trenčín;Kvocerová;Eva;3;;Piaristická;;25;91150;Trenčín 1
37808095;01.01.2002;30.09.2013;;;84130;;321;4;31;610;0;999;SK031;SK031B;SK031B517402;1110;;Správa katastra Žilina;Správa katastra Žilina;Štrengerová;Anna;1;;A. Kmeťa;;17;01132;Žilina 1
37836501;01.01.2002;31.12.2500;"36085651; 00011037";;85600;;321;4;20;610;7;999;SK021;SK0217;SK0217506745;1110;13110;Centrum pedagogicko-psychologického poradenstva a prevencie;Centrum pedagog.-psych. porad. a prevencie;Kuracinová;Ivica;16;;M. Sch. Trnavského;;2;91701;Trnava 1
35540915;01.01.2002;31.12.2500;;;85200;;321;4;20;610;6;999;SK042;SK042A;SK042A526592;1110;13110;Špeciálna základná škola Hrabušice;Špeciálna základná škola Hrabušice;Jendrál;Milan;16;;Hviezdoslavova;;164;05315;Hrabušice
35540931;01.01.2002;31.08.2005;;;;;321;4;20;610;0;999;SK042;SK042B;SK042B528374;1110;;Špeciálna základná škola Hrčeľ;Špeciálna základná škola Hrčeľ;Kopinecová;Júlia;16;;Hlavná;;75;07615;Veľaty
36071072;01.01.2002;30.09.2013;;;84130;;321;4;31;610;0;999;SK010;SK0102;SK0102529320;1110;;Správa katastra pre hlavné mesto SR Bratislavu;Správa katastra pre hl. mesto SR Bratislavu;Stuparinová;Oľga;1;;Chlumeckého;;2;82103;Bratislava 2
36071242;01.01.2002;31.12.2500;;;85600;;321;4;20;610;6;999;SK010;SK0108;SK0108508217;1110;13110;Centrum pedagogicko-psychologického poradenstva a prevencie;Centrum pedagog.-psychologického poradenstva;Gáliková;Marcela;8;;Lichnerova;;61;90301;Senec
37836196;01.01.2002;30.09.2013;;;84130;;321;4;31;610;0;999;SK021;SK0217;SK0217506745;1110;;Správa katastra Trnava;Správa katastra Trnava;Švecová;Monika;1;;Vajanského;;2;91701;Trnava 1
37827731;01.01.2002;30.09.2013;;;84130;;321;4;31;610;0;999;SK032;SK0321;SK0321508438;1110;;Správa katastra Banská Bystrica;Správa katastra Banská Bystrica;Šišovský;Jakub;3;;Nám. Ľ.Štúra;;1;97405;Banská Bystrica 5
37808508;01.01.2002;31.12.2013;;;84130;;321;4;29;610;0;999;SK031;SK031B;SK031B517402;1110;;Poštový regulačný úrad;Poštový regulačný úrad;;;;;ul. 1. mája;;16;01001;Žilina 1
37828436;01.01.2002;31.12.2500;37893823;;85600;;321;4;20;610;5;999;SK032;SK0323;SK0323508497;1110;13110;Centrum pedagogicko - psychologického poradenstva a prevencie;Centrum pedag-psych.porad.;Jorčíková;Oľga;16;;Hradby;;9;97701;Brezno 1
37870173;01.01.2002;30.09.2013;;;84130;;321;4;31;610;0;999;SK041;SK0417;SK0417524140;1110;;Správa katastra Prešov;Správa katastra Prešov;Švirk;Daniel;3;;Konštantínova;;6;08001;Prešov 1
36403008;01.01.2002;31.12.2500;00152161;;35140;"43340; 41209; 35300; 27900; 85590; 73110; 16231; 74200; 49410; 23610; 62090; 68200; 45200; 43210; 71110; 63110; 55200; 43120; 25720";121;4;99;101;24;140;SK031;SK031B;SK031B517402;1100;11001;Stredoslovenská energetika, a.s.;Stredoslovenská energetika, a.s.;Sekanina;Petr;16;;Pri Rajčianke;8591;4B;01047;Žilina 1
36403016;01.01.2002;31.12.2500;00152161;;35300;"55200; 23610; 45200; 35110";121;4;57;101;22;90;SK031;SK0316;SK0316512036;1100;11001;Martinská teplárenská, a.s.;Martinská teplárenská, a.s.;Polóni;Michal;1;;Robotnícka;;17;03680;Martin 1
36403032;01.01.2002;31.12.2500;00152161;;35300;"55200; 25720; 27900; 71129; 43210; 68200; 47789; 35130";121;4;57;101;22;100;SK031;SK031B;SK031B517402;1100;11001;Žilinská teplárenská, a.s.;Žilinská teplárenská, a.s.;Pompura;František;1;;Košická;;11;01187;Žilina 1
35541431;01.01.2002;31.12.2500;;;85200;;321;4;20;610;7;999;SK042;SK0421;SK0421543501;1110;13110;Špeciálna základná škola;Špeciálna základná škola;Sokolovská;Janka;16;;Richnava;;189;05351;Kluknava
